GeneID	GSM1122673	GSM1122674	GSM1122675	GSM1122676	GSM1122677	GSM1122678
107984610	0.01234	0.01331	0.007001	0.006855	0.005791	0.005797
479	0.01826	0.03153	0.04768	0.01421	0.01029	0.05664
105370118	0	0	0	0	0	0.005186
56163	0.08439	0.06935	0.2221	0.06075	0.03422	0.1361
112268115	0	0	0	0.00754	0.00637	0.006376
55835	5.274	5.102	7.036	3.135	2.452	3.023
107987187	0.02868	0.06191	0.08139	0.03188	0.1077	0.05392
646405	0.0401	0.03381	0.0882	0.04178	0.03883	0.0424
105370119	0	0	0	0	0	0.001142
105370120	0.01476	0	0	0	0	0
5042	7.232	7.052	8.759	7.421	7.076	8.517
219287	0	0	0	0	0	0
101928922	0	0	0	0	0	0
102723318	0	0	0	0	0	0
105370121	0.003678	0.01588	0	0.008175	0.03108	0.006913
9107	12.12	11.13	11.26	11.28	12.07	10.72
9818	22.85	20.35	19.58	18.61	16.33	15.5
51761	0.09381	0.04971	0.07435	0.2771	0.2301	0.1676
105370122	0	0	0	0	0	0
387914	0	0.02123	0.009568	0	0.1029	0
107984009	0	0	0	0	0	0
6049	14.93	13.9	11.2	16.29	16.67	13.91
1024	8.427	8.208	7.067	10.06	11.29	9.125
10810	7.457	9.542	3.572	3.511	4.651	1.382
107984597	0.02292	0.009894	0.02081	0.03056	0.01721	0.01292
2835	0.01841	0.01806	0.01899	0.005579	0.006285	0.01415
105370124	0.1054	0.09394	0.13	0.09164	0.1677	0.04305
219333	23.94	18.02	25.64	22.96	19.31	21.5
100874070	0.07932	0.08561	0.1801	0.1175	0.2483	0.0994
100874071	0.2071	0.4917	0.235	0.2877	0.6708	0.2822
105370125	0.0532	0.02067	0.06764	0.1135	0.03797	0.026
102723332	0.1031	0.07081	0.01064	0.1458	0.0352	0.04405
6144	143.8	142.4	167.3	141.8	131.5	165.8
26771	9.695	13.51	13.31	7.643	6.14	10.17
619499	5.927	7.162	7.605	4.582	4.355	4.117
387496	1.167	1.006	1.197	0.5056	0.6511	0.6399
105370126	0.009234	0.009967	0	0	0.008671	0
2971	95.51	96.11	93.68	62.54	51.49	61.76
219402	4.635	4.399	4.55	4.642	4.189	4.332
222484	6.158	6.254	4.378	7.044	6.977	4.873
51082	32.42	30.24	34.44	29.65	28	29.33
105370128	0	0	0	0	0	0
105370129	0.02889	0.03118	0.03279	0.0321	0	0.0543
219409	0	0	0	0	0	0
100861550	0	0	0.008176	0	0	0
105370130	0	0	0	0	0	0
3651	0	0	0	0	0.00136	0
100132234	0.004416	0	0	0.004908	0.004147	0
1045	0.00178	0.003843	0.004042	0.005936	0.006687	0.00502
646625	0	0	0	0.009329	0	0
105370132	0	0.009821	0	0.01011	0	0
2322	0.5838	0.6008	0.8344	1.377	0.7886	2.384
255967	6.493	5.01	6.102	5.459	3.682	4.144
100288730	1.871	1.579	1.67	1.766	1.183	1.358
2321	0.06585	0.103	0.07322	0.1934	0.2328	0.264
105370135	0	0	0	0	0	0
51371	60.91	62.94	60.09	64.65	69.96	68.76
283537	2.482	2.488	2.03	2.452	2.397	2.249
23281	0.04341	0.03514	0.04548	0.0436	0.01724	0.02746
100874107	0	0	0.01654	0.008098	0	0.006848
6541	23.89	23.57	20.29	12.34	8.781	11.33
102723345	0.03681	0.1192	0.08357	0.06137	0	0.0346
105370139	0	0	0	0	0	0
5412	5.68	4.611	5.688	7.903	7.879	8.507
100874059	0	0	0	0	0	0
100861573	0	0	0	0	0	0
440131	0	0	0	0	0	0
100874146	0	0	0	0	0	0.002906
102157400	0	0	0	0.02958	0	0
105370141	0	0.002413	0	0.00497	0.0021	0
84056	1.187	1.195	1.157	1.862	2.047	1.53
102723381	0.008228	0	0	0.01372	0	0
100188949	0.1161	0.109	0.2292	0.1066	0.09006	0.2088
103724387	0.03034	0.03275	0.03444	0.1349	0.114	0.2567
171222	0.6747	0.7186	0.6039	0.6508	0.6586	0.609
107984577	0.006121	0.04955	0.003474	0.006803	0.0115	0
3146	100.5	95.73	96.01	60.71	44.74	56.41
10208	4.872	3.52	3.87	4.641	3.415	3.315
100189036	0	0	0	0	0	0
241	70.93	72.58	44.13	64.63	96.9	52.29
100874158	0.08959	0.06769	0.122	0.07966	0.08412	0.02526
440132	0	0	0	0.02255	0	0
100507064	0	0	0.004207	0	0	0
84935	0	0	0	0.005294	0.004473	0.004477
122046	0.002809	0	0	0	0	0
105370145	0	0	0	0	0	0
